date,dw_listings,dw_jobs,dw_posted,dw_bidding,dw_completed,dw_completed_value_usd,dw_completed_median_usd,dw_completed_max_usd,dw_days_since_last_completion,dw_ratio,dw_genuine_requests,dw_advert_pct,dw_nonenglish_jobs,dw_agents,dw_workers,toku_services,toku_jobs,toku_ratio,toku_agents,toku_jobs_completed_lifetime,toku_agents_with_completions,toku_bids_placed,toku_bids_per_completion,ot_tasks,cantina_live,cantina_live_nokyc,cantina_live_pot_usd,sherlock_contests,em_tasks_ever,em_tasks_listed,em_expired,em_cancelled,em_completion_rate_pct,em_completed,em_paid_lifetime_usd,em_test_tasks,em_test_paid_usd,em_real_paid_usd,em_median_completed_usd,em_max_completed_usd,em_published,em_published_usd,em_services,em_service_orders,em_service_gross_usd,em_max_sold_price_usd,x402_services,x402_services_with_calls,x402_calls_30d,x402_gross_30d_usd,x402_gross_30d_ex_outlier_usd,x402_median_price_usd,x402_gross_30d_service_avg_usd,x402_endpoints,x402_endpoints_with_calls,x402_usdc_call_share_pct
2026-08-17,1001,44,24,20,107,236.29,1,50,31,22.8,3,93.2,1,1686,2252,3121,127,24.6,1554,7,6,4164,595,71,1,0,30000,301,3918,1350,1874,689,33.5,1312,58.51,222,21.78,36.73,0.02,1,22,0.41,85,89,1.08,0.1,2248,1479,308028,16425.08,9425.08,0.008,57428.03,29461,15702,100
2026-08-19,1005,44,24,20,107,236.29,1,50,32,22.8,3,93.2,1,1699,2270,3143,127,24.7,1565,7,6,4206,601,71,1,0,30000,301,3922,1337,1891,689,33.5,1314,58.71,224,21.98,36.73,0.02,1,7,0.12,86,89,1.08,0.1,2270,1490,296444,17926.64,9926.64,0.0085,17795.34,28255,13936,100
2026-08-20,1012,46,25,21,107,236.29,1,50,33,22,4,91.3,1,1710,2285,3139,127,24.7,1568,7,6,4228,604,71,0,0,0,301,4004,1408,1891,700,34.1,1367,59.72,224,21.98,37.74,0.02,1,8,0.15,93,92,1.13,0.1,2279,1503,304293,32294.94,10294.94,0.01,43317.84,29389,14722,100
2026-08-21,1018,49,26,23,107,236.29,1,50,34,20.8,4,91.8,1,1733,2312,3147,128,24.6,1570,7,6,4271,610,71,0,0,0,301,4093,1443,1891,754,34.3,1405,60.43,224,21.98,38.45,0.02,1,2,0.03,94,107,1.31,0.1,2309,1532,295764,32559.62,10559.62,0.01,38669.98,28692,13876,100
2026-08-22,1025,52,27,25,107,236.29,1,50,35,19.7,5,90.4,1,1743,2326,3147,128,24.6,1571,7,6,4271,610,71,0,0,0,301,4118,1466,1893,754,34.4,1415,60.62,224,21.98,38.64,0.02,1,2,0.04,97,107,1.31,0.1,2323,1531,298049,33407.84,10407.84,0.009,38558.97,28539,13990,100
2026-08-23,,,,,,,,,,,,,,,,3162,128,24.7,1584,7,6,4288,613,72,0,0,0,301,4226,1568,1893,758,35.7,1509,62.6,224,21.98,40.62,0.02,1,2,0.04,97,115,1.43,0.1,2343,1539,302445,31189.24,10189.24,0.0085,38522.44,30148,15236,100
2026-08-24,1039,55,30,25,107,236.29,1,50,37,18.9,5,90.9,1,1757,2342,3184,128,24.9,1594,7,6,4317,617,72,0,0,0,301,4459,1787,1896,765,37.8,1685,66.16,224,21.98,44.18,0.02,1,5,0.1,100,123,1.54,0.1,2360,1549,297423,30404.56,9404.56,0.009,37987.9,29464,14656,100
2026-08-25,1042,57,32,25,107,236.29,1,50,38,18.3,5,91.2,1,1773,2367,3208,128,25.1,1603,7,6,4329,618,72,0,0,0,301,4482,1806,1900,765,38.1,1709,66.71,224,21.98,44.73,0.02,1,0,0,100,123,1.54,0.1,2372,1557,293049,31104.74,10104.74,0.01,33653.85,29987,15031,100
2026-08-26,1046,59,34,25,107,236.29,1,50,39,17.7,5,91.5,1,1790,2392,3213,128,25.1,1607,7,6,4417,631,72,0,0,0,301,4482,1806,1900,765,38.1,1709,66.71,224,21.98,44.73,0.02,1,0,0,100,123,1.54,0.1,2380,1543,287999,30216.12,9216.12,0.01,32255.28,29735,15669,100
2026-08-27,1054,61,37,24,107,236.29,1,50,41,17.3,5,91.8,1,1813,2421,3250,129,25.2,1622,7,6,4495,642,72,0,0,0,301,4482,1804,1902,765,38.1,1709,66.71,224,21.98,44.73,0.02,1,0,0,100,123,1.54,0.1,2420,1549,283405,30450.54,9450.54,0.009,32138.16,29423,14732,100
